"Number ;Variety;source;Context ;Focus;Position;Relative_Position;be&also;R_S_P;"
"331;GBE;french-property.com;100 different grants available, from different agencies and levels of government. There are also significant delays in the payment of grant assistance. # The culture of many universities;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"337;GBE;guardian.co.uk;unable to read properly is it any wonder that there is also a failure to also understand Darwinism or evolution. # I get irritated when this argument always turns in;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"359;GBE;edri.org;""European Commission's """" fact sheet """" 10 Myths about ACTA shows, there are also still a lot of misunderstandings. Many decision makers and citizens seem not yet to"";OC;Anticipation;Distant;be_also;After_P;"
"370;GBE;microscopy-uk.org.uk;from the sea and ones that come from DuPont. Surprisingly enough, there are also a few species of freshwater sponges and if you live in the right area and;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"372;GBE;...businessforums.co.uk;to pay an additional 300 a month extra on my rates bill. There are also other issues which i wasnt aware of when i moved in such as water and;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"386;GBE;tripadvisor.co.uk;but well worth it, the food and service is excellent. # There is also a midnight snack supply in the main restaurant if for some reason you're peckish;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"436;GBE;bryanappleyard.com;""is generally regarded as one of the funniest books ever written, but there is also tragedy which, as he says, can be spotted by those """" with ears"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"72;GBE;insafbook.net;# Social Effect On Hearing Loss: # With difficulty of poor hearing there are also some social effects for this natural deficiency. Occasionally men and women ignore the persons;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"125;GBE;...w8975.mysinablog.com;the high property price would remain as severely unaffordable. # Moreover, there are also historical and political factors affecting the Hong Kong property price. During 1997, Hong;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"186;GBE;maxdesign.com.hk;, Northwestern, Oregon State, Utah, Vanderbilt, Washington, Washington State and also in-state schools Colorado and Colorado State. He had options, but desired to play;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"23;GBE;sites.cdnis.edu.hk;They suddenly bumped into a submarine and went in. There were people in there also part of V.F.D., and needed to find it desperately before a notorious villain named;OC;Pre-adjacent;Adjacent;;After_P;"
"283;GBE;expobuild.com;favored clubs. Don't become still left out there. Getting an actual and also authentic sports Wholesale MBT shoes is a great solution to communicate the fascination with virtually;OC;Pre-adjacent;Adjacent;;After_P;"
"310;GBE;...ntl.econ.cuhk.edu.hk;analysis about the different councils and cooperation between the states of Europe. There is also an appendix of the Central European Free Trade Agreement. # Remarks: This book;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"32;GBE;houghton.idv.hk;power and refocused on Christ's work, progress can be made. There is also the possibility of recovering Ottoman lands in S E Europe, which would be very;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"338;GBE;ganbing123.com;low sperm count or lack of ovulation prevents pregnancy on their own. There are also times when a couple would like to conceive, even if the child is the;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"79;GBE;...biblereincarnate.com;in regards to the self - the thought that the self was inherently monstrous and also the concept that the self was inherently absolutely nothing whatsoever. # ccessful. We;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"109;GBE;ox.ac.uk;body and social centre for graduate students in a college. Fourth year students are also granted MCR membership. The MCR is also a room located in the college.;Subject;Postponement;Distant;be_also;After_P;"
"13;GBE;chinaeducenter.com;compulsory rotating internship, however, facilities for completing internship in Xuzhou Medical University shall also be available. # Xuzhou Medical University MBBS curriculum aims at providing the student knowledge;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"133;GBE;cca.org.hk;that even missionary enterprise. and traditional theology, by imposing western values, have also contributed, sometimes unwittingly, to the cultural impoverishment of the Third World 29.;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"20;GBE;...ongkong.asiaxpat.com;have a permament HK ID Card and my husband who use to work in HK also had just a HK ID Card. Now he was too lazy to work on;Subject;Postponement;Distant;;Between_SP;"
"228;GBE;focac.org;of Tanzania and current Chairman of the EAC Summit, President Mwai Kibaki of Kenya also attended the retreat while Rwanda Prime Minister Bernard Makuza and Uganda Minister of foreign affairs;Subject;Postponement;Distant;;Between_SP;"
"376;GBE;clb.org.hk;not only the migrant children who suffered, the teachers who were assigned to them also felt discriminated against: # Segregated classes are not healthy for migrant children. It;Subject;Postponement;Distant;;Between_SP;"
"43;GBE;hkgirltalk.com;to spend in Taiwan). # Now China is growing fast while Taiwan is also doing good, Hong Kong people's insecurity emerge. The more they're scared;Subject;Postponement;Distant;;After_P;"
"48;GBE;51voa.com;the Asia Society to set up programs across the United States. High schools have also received money to start Chinese language training programs. # Mr. Cheng says that,;Subject;Postponement;Distant;;After_P;"
"58;GBE;pacificprime.com;may be of a lower standard that many European or American hospitals, costs are also relatively low, it is only at the very best hospitals where the treatment standards;Subject;Postponement;Distant;;After_P;"
"60;GBE;yingkoubbs.com;these e cigarettes would give you the best taste in smoking, these reviews will also give you the options for which best flavors available and which you could try to;Subject;Postponement;Distant;;After_P;"
"69;GBE;amrc.org.hk;It is interesting to note that a large number of family members of the workers also participated in the protest and they were also camping outside the labour commissioner's office;Subject;Postponement;Distant;;Between_SP;"
"74;GBE;51voa.com;system. Other cities including San Francisco, California and Portland, Oregon, are also expanding their systems. In Portland, a streetcar line opened in two thousand one;Subject;Postponement;Distant;;After_P;"
"77;GBE;hktdc.com;on the go, while buying airline tickets as well as food and groceries are also fast-growing sectors, as people seek greater convenience. # Call to Action # Coffee;Subject;Postponement;Distant;;After_P;"
"78;GBE;xbox.com;and may help you avoid MSDs. Changing your posture during extended gaming sessions may also help you avoid discomfort and fatigue. # When playing video games, adapt your;Subject;Postponement;Distant;;After_P;"
"84;GBE;demo.humblepg.com;""Newspapers him over and over again instituted, mercurial vapor, """" even Heilongjiang reporter also came, abercrombie. Sitting in the aircraft to the afternoon of March 9,"";Subject;Postponement;Distant;;Between_SP;
127;GBE;carbonbrief.org;""jobs. It cites two studies - both of which former presidential candidate Mitt Romney also used in his energy strategy. First, a """" recent report """" by small"";OC;Anticipation;Distant;;Between_SP;"
"152;GBE;guardian.co.uk;did not apply on equal terms until 1928. 1918 and the end of the war also saw a record low turnout when 100 MPs stood unopposed. In 2001, turnout;Subject;Post-adjacent;Adjacent;;Between_SP;"
"120;GBE;ihlo.org;, JetPower, has been moving machinery and reducing upper management. The workforce has also been cut by half, from 1000 to 500. No one knew what was;Subject;Postponement;Distant;;After_P;"
"258;GBE;...ongkong.asiaxpat.com;You really have to be in their situation to decide. Culture and family dynamics also come into play. # Beancurd, employers do complain about helpers but helpers also;Subject;Post-adjacent;Adjacent;;Between_SP;"
"38;GBE;fix-events.com;with questions from the floor dominated some of the sessions. The expanded exhibition area also proved to be very popular with a record number of exhibitors this year. #;Subject;Post-adjacent;Adjacent;;Between_SP;"
"64;GBE;wupromotion.com;Kollektief marked Wu Promotion's first venture of jazz. The Vienna Radio Symphony Orchestra also toured in China the same year. # Guangzhou Symphony Orchestra became the first Chinese;Subject;Post-adjacent;Adjacent;;Between_SP;"
"66;GBE;21voa.com;""from Washington, D.C., in an area called the Oratorium. Poet Toni Blackman also is performing at the festival. She is a State Department """" Ambassador of Hip-Hop"";Subject;Post-adjacent;Adjacent;also_be;Between_SP;"
"9;GBE;cw.com.hk;billion, the company said. # Sales of storage equipment, services and software also declined. A bright spot was Dell's server and networking business, where combined;Subject;Post-adjacent;Adjacent;;Between_SP;"
"97;GBE;thecorner.org;government officials were reluctant to carry out the new policies. The Late Qing Reform also got the same problem. The setting up of the Provincial Assembly was a careless;Subject;Post-adjacent;Adjacent;;Between_SP;"
"1;GBE;theplayethic.com;to motivate teachers and pupils in the future environment of education. # I have also been sought out by some germane commercial constituencies - the advertising industry, the games;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"100;GBE;...lobalgrasshopper.com;house -- probably springs to mind for most people but the city's Jazz club also offers more down-to-earth entertainment. Skip the gondolas and take a water taxi instead;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"101;GBE;huffingtonpost.co.uk;undocumented, an amnesty for millions will hasten the process. # An amnesty is also not an obvious way to appeal to minorities. Some 40% of the growing minority;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"102;GBE;physioroom.com;and are ideal for using as floating and buoyancy devices. The water noodles are also ideal for rehabilitation exercises. More Details # The Aqua Rehab Pack contains everything you;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"103;GBE;plus.maths.org;# Ramsey Theory still has applications in the study of logic. But it is also a very attractive subject in itself, since its basic ideas can be understood very;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"104;GBE;uk.answers.yahoo.com;""way. But not just this, your communication; your expression of words can also be unclear leading others to misunderstand your points. Yes, i believe you can"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"105;GBE;blog.moonfruit.com;be able to create as many unique aliases as you wish. Alternatively you can also forward your addresses to external email accounts like GoogleMail, Yahoo and Hotmail, which;Auxillary ;Pre-adjacent;Adjacent;;After_P;"
"106;GBE;...s.healthunlocked.com;for our friends here on the forum will be safe. Probiotics are wonderful and also safe - but again it is advised that people try and get a full spectrum;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"107;GBE;jamesallenonf1.com;qualifying will exclude you from qualifying at the next event. The applicable penalties would also see Romain Grosjean banned for two races and not just one. # As stated;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"108;GBE;bbc.co.uk;"", """" China Daily quoted the deputy chief justice as saying. # Mr Shen also said of all appeal cases heard by Chinese courts in 2011, nearly 99% of"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"110;GBE;...cancerresearchuk.org;you. Sorry if I've rambled on a bit. Please take care and also let us know how you and your granddad are getting on. Best wishes to;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"111;GBE;independent.co.uk;of torture, mass graves and cultural destruction, and witnessed undersize children. She also filmed the nuclear base, with interviewees claiming that babies were being born with deformities;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"112;GBE;independent.co.uk;deep. Clegg's comment might have been a swipe at Labour, but could also be aimed at Tories. # Rebels and loyalists # Unhappy to be in bed;Auxillary ;Post-adjacent;Adjacent;;after_P;"
"113;GBE;findababysitter.org;and by posting flyers at local colleges, churches and daycare centers. They can also browse babysitter profiles on online babysitting job sites and look for a sitter who meets;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"114;GBE;...bility-advice.org.uk;higher rate, you can stop the hearing completely at any time. This will also stop your appeal. If you do this, the Tribunal will not be able;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"117;GBE;styleateveryage.com;although I am yet to find the elusive perfect sequinned one). I'm also spending more on the perfect white and black tees, things that last. You;Auxillary ;Post-adjacent;Adjacent;;After_P;"
